table_number,status,reason,english_columns,english_rows,translated_columns,translated_rows,repeated_header
1,PASS,Exact structure match,2,"[5, 5]",2,"[5, 5]",False
2,PASS,Exact structure match,2,"[2, 3]",2,"[2, 3]",False
3,PASS,Exact structure match,2,"[1, 4]",2,"[1, 4]",False
4,PASS,Exact structure match,2,"[8, 8]",2,"[8, 8]",False
5,PASS,Exact structure match,2,"[4, 4]",2,"[4, 4]",False
6,PASS,Exact structure match,2,"[8, 8]",2,"[8, 8]",False
7,PASS,Exact structure match,4,"[3, 3, 3, 3]",4,"[3, 3, 3, 3]",False
8,PASS,Exact structure match,4,"[10, 5, 7, 10]",4,"[10, 5, 7, 10]",False
9,PASS,Exact structure match,6,"[2, 2, 7, 7, 4, 6]",6,"[2, 2, 7, 7, 4, 6]",False
10,PASS,Exact structure match,1,[2],1,[2],False
11,PASS,Exact structure match,2,"[5, 5]",2,"[5, 5]",False
12,PASS,Exact structure match,2,"[5, 5]",2,"[5, 5]",False
13,PASS,Exact structure match,2,"[3, 3]",2,"[3, 3]",False
14,PASS,Exact structure match,3,"[3, 4, 4]",3,"[3, 4, 4]",False
15,PASS,Exact structure match,3,"[4, 9, 9]",3,"[4, 9, 9]",False
